Customer Name,Ratings,Review Title,Reviews
RABI KESHRI,5.0 out of 5 stars,5 star,"Play Video
 Best 5 star"
Balaram sahu,4.0 out of 5 stars,Nice,Nice product easy to understand features
Bharanidaran,4.0 out of 5 stars,Recommended one,Very useful. WiFi is hard to setup & print at first.
BHAIRAVNATH HITECH AGRO PVT LTD,5.0 out of 5 stars,It's Very Easy,I Like This Product
Sahil Upadhye,4.0 out of 5 stars,Print and scan speed is excellent. Good delivery by the seller and,"5 stars for the printer, 4 stars for the scanner as it is hard to configure on the WIFI. Also the printer display is very LOW need to use a torch/some light to read. Print and scan speed is excellent. Good delivery by the seller and Amazon"
shefali,1.0 out of 5 stars,Not recommend,Not recommend as it is one side print only. Plus. One paper scan a time and there is no button available on printer to start the scan. First u need to put one paper on scanner than go to compuer and laptop and press the button which is available on their app. Now it is not saved. From this app u need to save it on ur desktop. Plus it is black and white only. Very time consuming.
Er. Tanuj Chopra,5.0 out of 5 stars,Excellent printer,Convenient and easy to use. Nice product.
Biren,3.0 out of 5 stars,Printer,Can not find on order list
Nandini Acharya,3.0 out of 5 stars,Really a nice product from HP,"Really a nice product from HP. However, I am not very happy with Amazon. Firstly, their website did some stupid technical stuff because of which I had to re-order this printer. And, when I re-ordered it, the price was increased by 1500 and no idea why?
Like 2 days before it was 1500 less and now just because of Amazon glitch I reordered it and had to pay 1500 extra."
Sunny kumar,1.0 out of 5 stars,No wifi connect,
Naveen Nama,5.0 out of 5 stars,Perfect All in one printer,"Everything about this is good - print quality, connectivity options, printing from my phone works great. Scan and photocopies work great as well. Nothing to complain."
manoj kumar agarwal,4.0 out of 5 stars,Wifi,Wifi problem
S.K.E.,2.0 out of 5 stars,"Outdated model, less features","Model is outdated. Toner cartridge capacity is limited. Better to search in other brands such as Brother, Sharp, Epson, etc."
embDo,5.0 out of 5 stars,"easy to use, quick setup and so far works good.","Reviewing after one day of use. Working good as expected. Wifi connectivity is good.
HP software for scanning is really good. I have so many options for output files which is really good."
Amazon Customer,1.0 out of 5 stars,After sales service is VERY POOR. SELL IT AND FORGET IT appears to be the HP tag line.,"HP service is VERY POOR. This printer, is not a plug and play printer. It is impossible to install using the manuals which accompany the printer. One year Warrant covers only remote offsite support. Even after 4 months of purchase, HP could only establish printing and scanning through USB. The basic purpose of purchasing a printer with Wifi Connectivity is LOST, since the feature could not be configured by HP after repeated attempts.
Providing FEEDBACK to HP is also to no avail. They are not proactive and have not ever bothered to check back with the customer based on feedback. DISAPPOINTED with HP service and support.
I DO NOT RECOMMEND ANYONE TO BUY THIS PRINTER. If you do, please do so at your own risk.
Print quality is good. Only One page at a time can be scanned. this is a limitation."
Sandip G,5.0 out of 5 stars,Highly Recommended,Print Quality takes time to get better. May be after 15/20 prints. But very good n high end wireless printer. Easy to install n flawless printing.
Aakash katare,3.0 out of 5 stars,Printer ink issue,Printer is good but the only thing I have issue with is the ink came with the printer last upto 2 months only (or 150print). Frustrating
Anand,5.0 out of 5 stars,"Good product, met expectations.",Product is genuine and working fine. It was easy to install.
Praveen kumar,5.0 out of 5 stars,Good product,Very good quality
Amazon Customer,4.0 out of 5 stars,Easy to install. Print Quality is good,The panel is not easy to use; Cartridges are expensive
Sujoy,5.0 out of 5 stars,Thanks Amazon..,"Thanks to Amazon. Product is delivered within 48 hours without extra money. I am amazed with faster delivery. I waited for more than 15 days after ordering to Snapdeal which got automatically cancelled.
Product is too compact, will fit most of the desktop table easily. Very easy & fast setup. Print quality is good though I just took fewer prints so far in last 1 hour. Scan and copy quality is generally good. Ideal for home use."
Karan joshi,5.0 out of 5 stars,Good quality,"Nice product. I am very surprised when i see printing quality or speed or connectivity(wifi)
Is very nice also sanner has good quality I think this product is very helpful for all printer user."
Deol Engineers LLP,5.0 out of 5 stars,I happy with same.,WiFi should be on automatic against manual operation
AYURVIDHA,5.0 out of 5 stars,Value for money,Good Quality printer
LK & Associates,5.0 out of 5 stars,"Good printer, easy to install, print via mobile and computer","Good printer for small and medium business. Easy to install. Print via mobile, computer"
M.R.Krishnan,5.0 out of 5 stars,wow product,superb connectivity and print quality
Latakshi,3.0 out of 5 stars,Average,"Duplex not supported
Wifi print lags when command sent"
Soniya,4.0 out of 5 stars,Good Product.,Quite good Product. Everything is manageable and easy operating. But only one disadvantage is in this Double sided automatic printing option isn't there. that was quite disappointing. But apart from that overall rating is good. :)
Dushyant Sharma,5.0 out of 5 stars,Amazing Quality,I love it nice for office use
Amchros India,5.0 out of 5 stars,Smooth working,"The printer is working well, It was very easy to install."
Amrit Mohanty,5.0 out of 5 stars,Best Economic Printer,The display panel doesn't has a LED light which I feel is necessary as it becomes an issue while printing in low light.
abhilash,5.0 out of 5 stars,Good all-in-one office tool,"It's a must for all small offices . Forget about wires , you can print from phone , tabs , laptops seamlessly , photo copy us a breeze . Works well with WiFi ."
Koushik Pal,5.0 out of 5 stars,I am very happy with this printer,I am very happy with this printer. ePrint feature is very helpful. Wifi signal is very good also.
Ketan Doshi,5.0 out of 5 stars,Great Printer,The print quality is crisp and clear
Sabari,4.0 out of 5 stars,"Excellent product, but i felt that toner runs out ...","Excellent product, but i felt that toner runs out after 200 odd pages. why don't they give a proper toner ?"
Bolla venkatesh,5.0 out of 5 stars,Fast copy or xerox,"Fast working, excellent printer , no issues"
srinivas raghavan,5.0 out of 5 stars,Need to work,"There should have been additional cartitge. It was not sent with printer. Please see

Regards

Raghavan"
Harinder Singh,5.0 out of 5 stars,Working perfect and easy to install,Was looking for laser printer and photocopy machine and got this at best deal. easy to install and easy to use.
Vilas k.,5.0 out of 5 stars,Worth it,Soooo cool plus their are so much features
Bhupinder Jeet Singh,5.0 out of 5 stars,Best MFP Monochrome Network Laser Printer(Supports Airprint),"Fantastic Product. I haven't seen a better HP LaserJet Pro with such cool features. It has wifi, lan connectivity. I can print from my phone laptop any device wireless to the machine. And it shows up instantly. Moreover the whole setup process was a breeze. I would not have got a better HP Laserjet product with MFP capabilities at this price. Hats off!!"
Ashwani kumar JAIPUR,4.0 out of 5 stars,"if you dont mind the low output toner... then go for it.... best model for those who want a brand , mono, laser, and wifi","One star deducted for demo toner with output of just 400-500 something prints.... Otherwise hp can be relied... Very good wifi connectivity of multiple devices.... multioptions of USB, LAN, wifi connectivity .....useful for small business"
Vinod Kumar .Y.V.,5.0 out of 5 stars,To set up WIFI you need to have laptop,"Setting it up on WIFI
U need to have a laptop otherwise it’s a nightmare"
Pankaj Kumar,3.0 out of 5 stars,Often take time to print,Wifi is bad
ashfaque husain,5.0 out of 5 stars,More then expectation,
RedKnightro,3.0 out of 5 stars,"Got a defective toner at first, replaced with new one now.. Works great!","Got a defective toner, couldn't print at first. Amazon told me to contact HP first since it couldn't be refunded/exchanged directly. HP told me to bring the toner to service centre. But then I contacted Amazon again and finally got them to replace it with a new printer. Now it works great as showed."
Dr. NP,5.0 out of 5 stars,Well-balanced Multi-functional Printer!,Great balance between price and quality if you are planning on using this printer in a non-commercial environment. Wi-fi setup was tricky but everything worked right out of the box.
harsh,4.0 out of 5 stars,The printing quality is good. But cartridges are empty and new HP 88 ...,The printing quality is good. But cartridges are empty and new HP 88 cartridge needs to be avoided. Whose value will be around 1000
Dhansukh Rambhai Jethava,5.0 out of 5 stars,Best must,Best must
Intelligence,4.0 out of 5 stars,Nice printer,Very very super quality
Ritesh Dhara,5.0 out of 5 stars,"... hp m126nw printer last few week its working to good, & print quality its to good but if ...","i am use hp m126nw printer last few week its working to good, & print quality its to good but if u want to print wairless u can suffer some deficulties your's printer take some time to connect to your wifi & anyone can use your printer those who r connect with same modem other wise printer is awsome"
Dev Kumar,3.0 out of 5 stars,Print quality is poor,Wi fi not connect
Kashvi Arora,5.0 out of 5 stars,Excellent product,Product is perfect...fulfilled all expected requirements of my small business...HP support is awesome (initially there were some installations issues but received a great technical support from HP)...Insurance was started two months back from the actual date of my product...contacted HP support and send them invoice copy to get it rectified so that complete one year insurance is applicable...bit costly than its competitors but worth that extra bucks...
KRISHNAMOORTHY S,3.0 out of 5 stars,Scanning from system,Display very worst unable to see .... after many times I installed software unable to scan from system it is a problem ... Print quality is ok
VINGAP,5.0 out of 5 stars,Good,"Easy to install, wireless printing is great"
praveen soni,4.0 out of 5 stars,Ok,U will need a expert for installing it.there is no name on buttons.rest is ok
Rajesh R.,5.0 out of 5 stars,Everything is perfect,Perfect ??percent
Suresh Shenoy,4.0 out of 5 stars,Value for money,The printer is working without any problem for the past 6 months. I am satisfied. I have to mention that my use is light around 20 to 30 sheets printing per month.
Himank,2.0 out of 5 stars,"Buy a newer model, this one has very hard to setup software","It is very hard to setup. I am a techie and an engineer. Still, it is hard to set up this printer.
1. It does not easily install drivers on computer.
2. It does not connect easily to wifi for printing.
3. It does not easily create a wifi hotspot to connect to for printing.

The printing part if fine. There are not enough options for formatting what you have to print. It's all very basic printing.

I would not recommend."
Har narayan pandey,2.0 out of 5 stars,Average,It's print good quality . And functions settings is so erritating.
Placeholder,4.0 out of 5 stars,"GOOD PRODUCT, BUT DRIVER NOT SUITABLE FOR WIN 10 PC. WORKS FINE WITH WIN 7.","GOOD PRODUCT, BUT DOES NOT PRINT MICROSOFT OFFICE DOCS IN WIN 10 PC. HP HAS TO IMPROVE THE DRIVER FOR WIN 10. WORKS FINE WITH ALL MOBILE DEVICES."
Navin chowdary,4.0 out of 5 stars,Good choice,Print quality is very good
R VENKATESH PRABU,2.0 out of 5 stars,Toner not getting even 100 copies,Total waste toner not support even 100 paper printing
Damodar P.,5.0 out of 5 stars,I am happy to say that this is nice and trouble free ...,"I am using this printer last two month.I am happy to say that this is nice and trouble free multi function printer with wireless Wi-Fi facility so you can print your documents from any part of your home or office. This printer provides easy, reliable quality printing and very good copying like professional printing and copying. I have purchased this printer from Amazon.in. They give prompt delivery in good condition.

Damodar Patil
Mumbai"
Neerav,5.0 out of 5 stars,Satisfactory,Every thing is excellent
Sumit,4.0 out of 5 stars,Good onsite support from hp,Nice product good onsite support from hp
VIPUL,4.0 out of 5 stars,Smart Printer For Office!!!,Cant connect to the printer without WPS. Otherwise perfect!!!
DHURI GIRISH GANPAT,5.0 out of 5 stars,Good Product,Good Product. working well but crack showing on scanning glass. may be crack in transport. return created let see whats new in upcoming sale 19 JAN 2020.
Amrit Pal Singh,5.0 out of 5 stars,Best wifi enabled model within budget,I liked the design very much and I got the latest model delivered by Appairo Retail Pvt Ltd which was out of stock in offline market and price was also high but thanks to the Amazon I got this item at discounted price.
Shailendra Agrawal,4.0 out of 5 stars,Needs improvement,Do not print password protected documents
Sankalp,5.0 out of 5 stars,Cost effective solution vis-a-vis commercial printing rackets,Good built and quality. Just a little trouble with WiFi but I guess that's more to do with my overloaded router. Didn't face any issues yet. Integration with Adobe PDF is good but foxit is a little cumbersome. Overall good buy.
ashok meher,5.0 out of 5 stars,Good printer,Good product and easy to use specially the network print. It resolved my lot of issues related printing from my cabin.
Shankar Prasad,5.0 out of 5 stars,Good product,"After all the research I made, zeroed in on this printer.
Havent had any issues so far and happy with the product."
Prakash Rathore,5.0 out of 5 stars,Recommended for office,"Printer does good its job.
But price is little bit higher for home usese."
Karan Dave,5.0 out of 5 stars,Works like a charm.,"Works as it is meant to be.
Good for small office/ home office/ students.
Printing speed is ok.
Can scan multiple pages as single PDF.
Can do upto 100 photocopies of a paper, just press the multiple photocopy button and use arrow keys to set the no. of copies and press ok. :)
Print quality is decent.

Overall satisfied with the product. :)"
ARSH KADRI,1.0 out of 5 stars,Worst amazon customer service and same about the printer,"Ordered the worst printer.
I ordered it a week ago and i wanted to return it but there was no one to help me to return because the amazon customer service process was not working and now I'm unavailable to return it.
Not happy with amazon service and with this product too."
Rocky,3.0 out of 5 stars,No light on LCD display,No light provided in LCD display
Phani Teja Redla,5.0 out of 5 stars,Good one,"All is okay
But the display has no light
We should come closer to watch the display"
Mohammad Danish,5.0 out of 5 stars,"Easy, Fast & Great","Very fast and good printer. Wifi print from mobile is awesome, just install HP Eprint application from Play Store and print your documents from mobile phone via Wifi (without any internet connection just connect your phone with printer's hotspot)."
Lalit kamdar,5.0 out of 5 stars,Over all good,Very difficult to install
Varun Chauhan,5.0 out of 5 stars,"Great wifi printer, for personal and small office needs","The delivery was quick and in good condition.
The printer itself has a very good build quality and can be used for all printing needs.
Its monochromatic and gives a clear crisp print. Scan quality is good with many option available for saving the scan.
Wifi was easy to setup and works well, can also be connect across a network via Ethernet cable."
Amazon Customer,4.0 out of 5 stars,Nice product..easy setup and usage..,"It's been 3 months passed I bought this product, and I really liked this product because the quality of printing it gives is excellent. You can easily setup, occupies less space, print wirelessly using any of your smart devices(of any model)."
PARVEEN MAHESHWARI,5.0 out of 5 stars,All over fine,
Goel Textiles,5.0 out of 5 stars,Good product,Good product
ulhas kulkarni,2.0 out of 5 stars,Product is excellent but wifi connectivity is very very poor,Horrible wifi it's been a week and I still can't get it connected to wifi.my old brother connects in flat 40 seconds.tried every trick available on line .wifi is pure waste .
SUNEEL KUMAR,5.0 out of 5 stars,Best,Good
UD,5.0 out of 5 stars,Good quality and performance,Good quality and performance. In first attempt i received it but found problem in scanning. But Amazon replaced the item now its working fine.
Amol,5.0 out of 5 stars,Good product,Good quality
PAPUN KANSABANIK,3.0 out of 5 stars,Features of printer,It does all its tasks as expected however while printing documents back to back it does not take the paper in on its own after printing of front page
Adi,5.0 out of 5 stars,Good Overall printer and Functions,"Works perfectly for our small office, as usual finicky setup process common with HP products. Over all good product and we bought it for 13500 in sale post CC discount."
VNR Motors,1.0 out of 5 stars,Printer stopped working in less than a year,"Printer suddenly stopped powering up in less than a year of purchase.
Even though the printer was covered under warranty, HP failed to send a service representative to fix the issue."
9319404366,5.0 out of 5 stars,Good for office use,best printer which also has wireless connectivity
JOSEPHMAMMU,5.0 out of 5 stars,Good,Good
Sivasangeetha S,5.0 out of 5 stars,Good print quality,Very good product and easy to use.
Sudhakaran J,5.0 out of 5 stars,Value for Money,Value for Money
Jagadish,4.0 out of 5 stars,Bill copy,I didn’t get bill copy of printer
Amitesh A.,4.0 out of 5 stars,Good,Good Product
Ankit Arawal,4.0 out of 5 stars,Nice printer,Nice printer
Chandana sahoo,4.0 out of 5 stars,Good,Good at this price
Amazon Customer,5.0 out of 5 stars,Happy ??,The printer is super cool and easy to use. Big - yes.
Anand,5.0 out of 5 stars,Easy to setup and use,"This is a very easy to setup and use printer. Can print from multiple devices (laptop, mobiles)."
shobhit,5.0 out of 5 stars,worth it,No hardware problem yet after 4 years of use. Easy scanning and good printing quality
Ayush Yadav,5.0 out of 5 stars,I loved the product,"Totally worth of buying and true justice of money. I loved the product, very nice printer in almost all aspects. I want to make clear it to all the others buyers that it don't print on both sides of paper you have do it manually by turning the pages otherwise it is very good especially the print quality."
vchandra,4.0 out of 5 stars,Four Stars,Happy about the printer. But scan part does not work using smart app in wireless mode
Amazon Customer,4.0 out of 5 stars,Quality,Quality is not so good
7PM to the rate that it will cost less and back to its top and,4.0 out of 5 stars,The display panel does not light up. If we ...,"The display panel does not light up.
If we are keeping in concealed place, we have to use external light side to see what is there in the display.
This is the reason for 4 start."
Attrape Reves,5.0 out of 5 stars,Awesoe product go for it, Really good product
Senthil P,5.0 out of 5 stars,Good,Good working
B NARENDRA KUMAR,2.0 out of 5 stars,Worst customer service,"We bought this printer in June 2020 Month and received defective product . Issue is wireless printing not working from mobile, ipod, laptop. Worst customer care, nobody did not take ownership. I have called number of times finally yesterday got resolved and changed the panel.
Catrej cost 8400/_ too much expensive??"
Harshad Chaudhari,3.0 out of 5 stars,Avarage,Good but at starting its taking to much time as compare to other
Customer,5.0 out of 5 stars,Good product,"I have ordered this last month and received a damage one, Then on reordering received it in good condition. running smooth. Happy with purchase"
Pankit,4.0 out of 5 stars,Four Stars,"The first toner got empty really fast than expected, the total prints didnt crossed even 150 pages"
Venkateswar,5.0 out of 5 stars,Nice,Good
Abhishek R.,5.0 out of 5 stars,He -Man among Printer.,Well it's just awesome! .Best part is no need of spider Web like wires. Can be kept anywhere at office or home. Print quality is good. Plus printer is fast. Excellent product and amazon did a great job in delivering in the product in one day .Must buy if you are looking for a printer in this range.
Amit Jha,5.0 out of 5 stars,Nice Product,Nice product
Amazon Customer,5.0 out of 5 stars,Perfect for my use,working great. Two sided printing is missing. And tray is single scanning only. But works for my minimal use. Print quality is AWESOME. Loving it.
SOUMENDRA,5.0 out of 5 stars,Good,Good
ashu,5.0 out of 5 stars,I made the right choice!,"I was confused which one to buy M1005 or this one. But going with the M126NW was a good choice. The wifi printing is just the best! The build quality is also good. The promo cartridge will definitely print beyond 500 pages. Also it is smaller in size as compared to M1005.
Got it for 10771."
Navin Kumar,4.0 out of 5 stars,Good,Good
Shamik Saha,5.0 out of 5 stars,Very nice printer and excellent speeded delivery by the vendor,"Very nice printer and excellent speeded delivery by the vendor. Only thing needed was a longer USB cable so that I could take print out when I was on a different wireless router. Taking printing through email is an option but the challenge is my docs are being sent to HP, which I don't want."
Navdeep,4.0 out of 5 stars,Good,Very good printer ..
SACHIN,4.0 out of 5 stars,Good,??
pallavi,4.0 out of 5 stars,Great experience as always,"The printer meets all expectations. Although I had a little trouble with setting up the wifi network.
The seller Amv were quick to replace my piece after I got a broken one and did so with the utmost professionalism..
Great experience as always."
Amazon Customer,4.0 out of 5 stars,Hresgttrg,Good
ABHAY KUMAR,5.0 out of 5 stars,wifi printing is not satisfactory.,"When i give a print while connected with wifi, it prints in very dull background or print quality is reduced very much."
Yubaraj Gupta,4.0 out of 5 stars,Hp laserjet printer is best,Nice printer but toner cartridge is little expensive
powerupcloud technologies pvt ltd,4.0 out of 5 stars,Reviews,it is very difficult to install
Amazon Customer,5.0 out of 5 stars,Worth the money,"It is cheaper at Amazon by about Rs 700 compared to Nehru Place. Hence a good buy.

I have been using this printer for about a week now, good printing ( as advertised). Minor hitch, no separate envelope loading tray/provision. So, you have to take out the printing paper to load the envelopes."
Padma,5.0 out of 5 stars,We can take 700 to 800 print per cartridge and cant able to refill,We can take 700 to 800 print per cartridge and cant able to refill
Manish,5.0 out of 5 stars,Quality product.,Functioning very effectively. Nice product. Very easy installation. Nice printing experience. Wifi too is very good.
Johny,5.0 out of 5 stars,Very good printer.....!!!!!,Very good multi function printer....
SATYANARAYANA REDDY KONDAKINDI,4.0 out of 5 stars,good product. Installation is not so easy,good product. Installation is not so easy. It is better to provide company personnel to instalation.
Jalanderreddy,4.0 out of 5 stars,Nice,Overall ok
jalaj tiwari,4.0 out of 5 stars,Amazing,Good product
Avtar chand,4.0 out of 5 stars,Nice,Good
Placeholder,5.0 out of 5 stars,Awesome printer,Absolutely awesome experience... Initially i was confused between hp and other brands in this same price segment but finally choosen the right one. Quite happy ??
Raghu,5.0 out of 5 stars,Good,Good
Asif,4.0 out of 5 stars,Good,Nice product
DR. MUKHTAR MULLA,4.0 out of 5 stars,Go for it......,Good product......delivery on time as as always is the case with Amazon.....Got it for 9.9 k....Installation of the printer was bit difficult job....company should arrange for a demo in such type of printers....printing quality is good.....overall happy with the product....
Jyothi Iyengar,5.0 out of 5 stars,Awesome printer,Awesome printer. The wifi connectivity is too good. A must buy!
SANDEEP,5.0 out of 5 stars,Worth Buying,Value for money. Easy to use
Amazon Customer,2.0 out of 5 stars,Too old model 2012,Old model 2012
Suresh,5.0 out of 5 stars,Very good printer of HP,Very good printer with printing quality and Wi-Fi quality. If u thinking to purchase a printer then must go with this.
simpy,1.0 out of 5 stars,Received defective item,Not satisfied with the product
Amazon Customer,4.0 out of 5 stars,Print quality,"Excellent printing quality , but wireless connectivity is not so good"
Anmol,4.0 out of 5 stars,Good,Good
HIMANSHU KUSHWAHA,5.0 out of 5 stars,Very Good Product for this price,"Very Good Product for this price.
It supports wireless printing through wifi and I like HP e-print support very much. Slim design, good packing.
HP should provide little blue light to its black and white small display, it is very hard to see status of the printer even from 2 feet distance from display. Overall good product."
saurav garg,5.0 out of 5 stars,Very best product,I also used this printer about 1.5 years..this is very best
Amazon Customer,4.0 out of 5 stars,Overall a good product from HP,"Overall a good product from HP, Being a wifi Printer it really helps, one can print from mobile / Laptop / Desktop without any wire, no need to transfer data from mobile instead print directly."
Harinder singh hassanwalia,1.0 out of 5 stars,The chat on this product said it is wifi enabled. In fact it is not.,"This has amounted to false advertising by Amazon. The product is not as I was led to believe on the chat, neither is it returnable. So I have paid fir a product that is not what I got and Amazon won’t take it back either. I’ve been ripped off."
kinjal,3.0 out of 5 stars,The product is good but the toner size isnt,"The toner for this printer is small and it gets empty pretty quickly.
Other then that there is no problem. Everything else seems very good."
Taranpreet,5.0 out of 5 stars,Printer is too gud bt the installation of first time ...,Printer is too gud bt the installation of first time wireless setup is little bit difficult. Print quality and speed is extremely gudd. No 1 product of wireless printer by hp in this range order without thinking ??????
Vinay Purohit,3.0 out of 5 stars,LCD Panel is dark light not working,"Yesterday I bought a New HP 126nf Printer from Amazon, its working fine but LCD Panel is dark light not working"
Mani,5.0 out of 5 stars,Best printer for home and small office,"It is excellent printer to handle, no messy wired to connect due to wi-fi features, only the display in Pinter lcd is Not visible to read. Otherwise all are nice"
Gautam,1.0 out of 5 stars,Cartridge was not genuine.only 20 pages printed with that cartridge.,Cartridge was not genuine.only 20 pages printed with that .
ss,4.0 out of 5 stars,Good Printer,Good Printer
C.parvathi,3.0 out of 5 stars,Installation,"I need technical assistant to instal the printer
What should I do?"
Rakesh,1.0 out of 5 stars,Very bad product,"Don't waste your hardly earned money in this third class product.
Only after 9 months use, this printer stopped working. Hence I contact customer care for repairing my printer in warranty, but they don't. And I have spend around 3000 rs for printer repairing. Third class services by HP."
Saurabh Gupta,5.0 out of 5 stars,Delivered fast,Fast and Nice
Amazon Customer,5.0 out of 5 stars,Very good,Good product. Easy to install . Quick delivery. Scan quality and copy quality is good
vasudendra sanjay,5.0 out of 5 stars,Worthy for easy working from home,Working perfectly..worthy
Ravishankar D,5.0 out of 5 stars,Good Service,"Excellent Service, got delivery within Two days and NO Hassel, just plug and play. Very happy."
timir,5.0 out of 5 stars,Good service,"Product was in pacjed properly and delivery was on time.
The printer is good and easy to use.
Installation is easy."
Dvgr651,4.0 out of 5 stars,Very good product,Very good printer for my home office use. Happy I got it.
Spectrcochem Pvt Ltd,4.0 out of 5 stars,HP Laserjet Pro M126nw,Nice Product. Easy to use
APK,5.0 out of 5 stars,Amazing laser Printer,"Low cast Laser printer with WiFi option.

Very easy to Install the software and find WiFi connectivity.
I tested print via WiFi. Its working very fine and fast. But taking time when try to print from the Mobile device.
No back light in LCD display. Its very difficult to view the status of the printer."
Mahendra Chahar,3.0 out of 5 stars,Average product from HP,Average product from HP
Dilipkumar Vaghasiya,5.0 out of 5 stars,Good,Best
pushpendra,5.0 out of 5 stars,Easy to use,Good product
Lekhraj Singh,5.0 out of 5 stars,",5 ?????",????
BHASKAR,4.0 out of 5 stars,Good printer,Best printer in laserjet with wifi and very cheap
Anil Vishwakarma,4.0 out of 5 stars,Good,Almost good product
Madhuramakrishnan,4.0 out of 5 stars,Super,Super
GUPTA,4.0 out of 5 stars,Good Printer. Delivery in Time,"Good Printer. Delivery in Time. Price is fluctuating hence suggest to follow price trend and buy.
Display with backlit if available might have been good. Support service info is not available easily."
Pramod sukhadev pawar,3.0 out of 5 stars,Duplex not available,I want duplex print ..but that facility is not available
ranjith,4.0 out of 5 stars,Slow in printing and connecting Wi-Fi also slow,Print speed is low
Vegu venkataramana,4.0 out of 5 stars,Super,Best
Manish Rai,3.0 out of 5 stars,Wate of money,Photo copy from this printer is not good. So don't purchase this model
Prince Kumar Sharma,5.0 out of 5 stars,Good printer,"Printer quality is good and easy to install....
such a good product in this amount."
DEBOJYOTI KUNDU,5.0 out of 5 stars,Good printer for the price,This multifunction printer is a perfect solution for small office purpose with good quality printing and wireless print options. The wireless options also support apple air print so printsetup with ios device is also hassle free. Amazon was fast to ship the product within few hours and was delivered before time. Overall a good buy
Celeste,3.0 out of 5 stars,Too big but fulfills its purpose.,Too bulky. Too big than expected. But works fine. Best part is I can print directly from my phone. But could be easier to handle .. doesn't exactly fits for home use. More suitable for offices
SANDEEP KUMAR,2.0 out of 5 stars,after purchase service is bad,"free installation is not provided by amazon if you buy from hp site, provided you free installation so i am not satisfied by amazon and i have complained in consumer court but decision is pending"
punit,2.0 out of 5 stars,Printer good but hp service no use,Received printer all things are good but display nacklight not working complaint done in hp on 3rd day 1 week paased no one came just getting messages that it would be solved soon
Saheel,5.0 out of 5 stars,Really money worth buying this printer,Money worth and nice quality
GAUTAM KHATRI,5.0 out of 5 stars,Awesome product,Go for it
Saptarshi C.,5.0 out of 5 stars,Good Product,Good Product
Rajendra Ugale,4.0 out of 5 stars,Good,Good
Sunny,4.0 out of 5 stars,Mediocre,Mediocre
Amazon Customer,5.0 out of 5 stars,Hp126 nw,"Since 2017 king in printer segments...!
Hp 12n nw superb..."
Nithin Patkar,2.0 out of 5 stars,Warranty already Activated in Aug,"I was bought this printer in the month of Oct, when I was checked warranty it was activated in the month of Aug 2019, something wrong, HP poor support even vendor is not trust worthy .
Key buttons placed in bottom if you keep printer in table, its not visible to check .remaining all are good ."
Saifee Patanwala,4.0 out of 5 stars,Satisfied,Good quality product
Manisha shukla,5.0 out of 5 stars,Top notch,awesome product
TARUN KUMAR,4.0 out of 5 stars,??,Mast printer
siva,4.0 out of 5 stars,Excellent,Great
Bhanage Pushkar Sanjay,5.0 out of 5 stars,Product 5 star but delivery i would say 0 star or below that,"The delivery is so poor so poor i got it after almost 3 to 4 days late .
Product no doubt is a great printer."
Amazon Customer,4.0 out of 5 stars,LDC display is poor,"Printing is good,but the keyboard and lcd display needs some re-working or re-designing.The LCD display is poor and looks like 90's era.

however the printing is silently done which is good."
Placeholder,5.0 out of 5 stars,?? Mashallah ?,?? Mashallah ?
Zaki,3.0 out of 5 stars,With out manufacturing warranty,I have received product without manufacturing warranty
sachin,5.0 out of 5 stars,Excellent product,Excellent product
Ravi Ranjan,5.0 out of 5 stars,Excellent printer,This is 2nd printer ordered from Amazon. Total satisfaction!
Aditi Jhunjhunwala,4.0 out of 5 stars,Everything is per specs.,Everything is per specs. Just thought it would have a backlit LCD panel and duplex capabilities for this price point
GAURAV MAHTO,5.0 out of 5 stars,Best service Best product,"Best service
Best product"
Xavier,4.0 out of 5 stars,Super....,Working good.... Recommended.......
Pravin more,3.0 out of 5 stars,OK,OK quality
Raghav,1.0 out of 5 stars,BAD PRINTER,"Worst worst worst, The print is very light colored, have to change drum within 2 days as drum is not ij warranty, photocopy is very light colored.... The input tray is damm loose built, you put the papers & it get shattered everytime ... If you keep it in idle mood, its get switched off easily and you have to turn it on again for work,
Sometimes it doesn't print & you have to troubleshoot the program for printing.. not recommend for hig usage such as 700 print per month... Barcode not printing in .rpt files."
Satish Vepati,4.0 out of 5 stars,good,good product
VP??,4.0 out of 5 stars,I wanted the best and upon reviews I chose this printer,Don't know much of the printers. I wanted the best and upon reviews I chose this printer. I am getting what I wanted...
SAMEER KHAN,4.0 out of 5 stars,Price,Nice product value for money.
Placeholder,5.0 out of 5 stars,Nice printer for daily usage,Excellent but you cannot scan from mobile app unlike other printers. Apart from that i found it good.
Divyang,4.0 out of 5 stars,Good,Working best
mahendra patel,4.0 out of 5 stars,Superb,Very good working
MAK Airways Pvt LTD,5.0 out of 5 stars,Superb,Product is excellent
Sharada,4.0 out of 5 stars,Good,"Excellent Printer. Does the job perfectly in both wired as well as wireless mode.

Only -ve (if you say so) is the USB cable for wired connection between PC and Printer is short (may be around 1.5 M)."
Ashok Kumar,5.0 out of 5 stars,RELIABGLE,IT DOES WHAT IT IS SUPPOSED TO
srinivasan muthiah,4.0 out of 5 stars,Lesaerjetpromfpm126nw,Nice but displays lights. No working
M K.,5.0 out of 5 stars,TQ Amazon,"Awesome ?? , super print quality."
